,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,average_model,optimal_clustering
10,0.4983026504765635,0.5860643251947599,0.6019715367541455,0.6036906471689081,0.585868477172825,0.5809940375157766,0.5790355572964269,0.5570570570570571,0.49138268703486093,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.4983026504765635,0.5799712756234495,0.6024067545806676,0.6031248639944292,0.5864995430212822,0.5842581712146929,0.5583409496452975,0.5589937763850807,0.4983026504765635,0.5827566697131914,0.60127518823171,0.6027331679505592,0.6017321669495582,0.5715280497889194,0.543826435130783,0.543826435130783,0.4983026504765635,0.4983026504765635,0.49405927666797234,0.4997823910867389,0.5067458763110937,0.4945380162771467,0.49014231622927273,0.49778038908473693,0.4940157548853201,0.5044174609392,0.5005657831744789,0.49986943465204337,0.4949297123210167,0.4911650781215999,0.5629204083310364,0.6036906471689081
11,0.5032423728075902,0.5570135352744049,0.5548156852504679,0.5960090525307916,0.5953779866823345,0.572659616137877,0.5669800235017627,0.5688079383731558,0.49288418853636246,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5032423728075902,0.5671105888497193,0.5615398006702355,0.5949862906384645,0.5937241589415503,0.5768159463811637,0.5707664185925055,0.5688296992644819,0.5032423728075902,0.5642381511946729,0.5962049005527267,0.5957914436175306,0.5888932410671541,0.5676110893502198,0.5670235452844149,0.5632806719763241,0.5032423728075902,0.5032423728075902,0.503612307960134,0.50559254907081,0.4970622796709753,0.49769334551943245,0.4985202593898246,0.5100317709013361,0.5021325673499587,0.5041780911346129,0.5011098054576315,0.5011533272402837,0.5054402228315272,0.4992383688035862,0.5591694754335657,0.5962049005527267
12,0.5029377203290247,0.546220133176655,0.5708317012664839,0.5607564085824955,0.5205205205205206,0.5352744048396222,0.5116420768594682,0.514797406101754,0.47595421508464986,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.5029377203290247,0.562236149192671,0.571071071071071,0.5601688645166906,0.5194759977368673,0.5238934586760674,0.5260042651346999,0.5143404273839056,0.5029377203290247,0.5243286765025895,0.5359707533620577,0.5724202463332898,0.5449580014797406,0.48093745919832875,0.5269617443530487,0.5274404839622231,0.5029377203290247,0.5029377203290247,0.4995212603908256,0.4936675806241024,0.491186839012926,0.5008269138703921,0.5058754406580493,0.500587544065805,0.5026983505244375,0.5000870435653044,0.49610480045262656,0.5039387213300257,0.5019149584366975,0.4997606301954128,0.5274404839622231,0.5724202463332898
13,0.507202855028942,0.5896983940462202,0.5924620272446359,0.5826913870392131,0.5749880315097706,0.5766200983592288,0.5468947208077642,0.5478086782434608,0.4732993863428646,0.507202855028942,0.507202855028942,0.507202855028942,0.507202855028942,0.507202855028942,0.507202855028942,0.507202855028942,0.507202855028942,0.507202855028942,0.5927449188318753,0.5930495713104409,0.5851068459764112,0.5728119423771598,0.5715280497889194,0.5693519606563084,0.5453714584149367,0.507202855028942,0.5098359228794012,0.5892414153283718,0.5831701266483875,0.5485050267658963,0.5477433955694825,0.5477869173521347,0.549244897070984,0.507202855028942,0.507202855028942,0.49782391086738914,0.4962353658005832,0.5090307699003351,0.5058754406580493,0.4935152543848196,0.5043304173738956,0.5061365713539626,0.4994342168255212,0.502197850023937,0.5046350698524612,0.5070940505723115,0.49471210340775557,0.5528136832484658,0.5930495713104409
14,0.5099229664447056,0.5240022631326979,0.5659355007181094,0.5658702180441311,0.5640640640640641,0.5254602428515472,0.5306393349871611,0.5232623928276102,0.4815032423728076,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5099229664447056,0.5481568525046786,0.5676981329155242,0.5625843234538886,0.5603647125386256,0.5341863602733168,0.518801410105758,0.521826174000087,0.5099229664447056,0.563650607128868,0.568459764111938,0.5660443051747399,0.5505287896592245,0.4944292118205162,0.5042868955912434,0.5303999651825739,0.5099229664447056,0.5099229664447056,0.5048962005483745,0.5063541802672238,0.506615310963137,0.4993689341515428,0.5018931975453714,0.5036993515254384,0.5028941985463724,0.4994559777168473,0.5015667841754798,0.4981285633459547,0.50559254907081,0.4997388693040867,0.5341396146549126,0.568459764111938
15,0.5105322714018367,0.5859337598468033,0.5806458632545589,0.5961613787700745,0.5959437698568133,0.5783827305566436,0.5735953344648996,0.5579710144927537,0.4720372546459503,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5105322714018367,0.5730948339643992,0.5812769291030161,0.5969012490751621,0.594659877268573,0.5809069939504722,0.5636941289115203,0.5591243417330374,0.5105322714018367,0.5808417112764939,0.5843016929973451,0.5951603777690734,0.577251164207686,0.5633677155416286,0.5731383557470514,0.5497671584628107,0.5105322714018367,0.5105322714018367,0.49654001827914873,0.5003481742612177,0.5005222613918267,0.5040692866779823,0.4970187578883231,0.4997388693040867,0.4992818905862384,0.4980197588893241,0.4974322148235192,0.4974322148235192,0.5069417243330286,0.49460329895112504,0.5617340367742945,0.5969012490751621
16,0.5077033555294425,0.582060321190756,0.5632806719763241,0.5851068459764112,0.5842364103233668,0.5693737215476345,0.5625843234538886,0.5502241371806589,0.47967532750141445,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5077033555294425,0.5734865300082691,0.5649127388257823,0.5845410628019324,0.5823867345606476,0.5712886799843322,0.5582103842973408,0.5517256386821604,0.5077033555294425,0.5758802280541411,0.5843016929973451,0.5836706271488881,0.5057013535274405,0.5062018540279409,0.5068982025503764,0.5421508464986726,0.5077033555294425,0.5077033555294425,0.5020672846759803,0.49590895243069155,0.4963441702572137,0.4942333637985812,0.49858554206380296,0.5018714366540453,0.4969752361056709,0.49836793315054184,0.4969099534316926,0.5021325673499587,0.5052878965922444,0.5040910475693084,0.5483857448430717,0.5851068459764112
17,0.5033511772642207,0.578273926100013,0.5996213604909257,0.5956391173782478,0.583278931105018,0.5837359098228664,0.5508552030291161,0.5457196326761544,0.49512556034295163,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5033511772642207,0.5884580232406319,0.5998607302955129,0.5968359664011837,0.5845845845845846,0.5783827305566436,0.5751621186403795,0.5505287896592245,0.5033511772642207,0.5240022631326979,0.5764242503372938,0.5992079035557296,0.5626931279105192,0.5571223397310354,0.5381686033859947,0.5364930147538843,0.5033511772642207,0.5033511772642207,0.5020237628933281,0.5084432258345302,0.5117944030987509,0.4994559777168473,0.5041563302432868,0.4982156069112591,0.5077686382034208,0.4972363668015842,0.5027418723070897,0.4969534752143448,0.5080297688993342,0.4936893415154285,0.5561825916093227,0.5998607302955129
18,0.5127301214257736,0.5842146494320407,0.580667624145885,0.5953127040083562,0.5950950950950951,0.5759672716194455,0.5713539626583105,0.5552944248596422,0.4720372546459503,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5127301214257736,0.5704182443312878,0.5819950385167777,0.5961396178787484,0.5938982460721591,0.5790137964051008,0.5611916264090178,0.5568829699264481,0.5127301214257736,0.5818209513861687,0.5823214518866693,0.5943987465726596,0.576663620141881,0.5619967793880838,0.5722896809853332,0.5469600034817426,0.5127301214257736,0.5127301214257736,0.4956478217347783,0.5031118074596336,0.4972798885842364,0.5039604822213518,0.4968664316490403,0.5002828915872394,0.4997823910867389,0.4992166079122601,0.500413456935196,0.496801148975062,0.4925577751664708,0.5051573312442877,0.5610957172953953,0.5961396178787484
19,0.506593550071811,0.5821256038647343,0.585455020237629,0.5749009879444662,0.565065065065065,0.5670888279583932,0.5447621534578057,0.54563258911085,0.4788484136310223,0.506593550071811,0.506593550071811,0.506593550071811,0.506593550071811,0.506593550071811,0.506593550071811,0.506593550071811,0.506593550071811,0.506593550071811,0.5855203029116073,0.5854332593463029,0.577055316185751,0.4763023893458676,0.5619097358227793,0.5600818209513861,0.5436741088915001,0.506593550071811,0.5093571832702267,0.5808417112764939,0.5765548156852505,0.5461548505026765,0.545436741088915,0.5450885668276972,0.5458066762414588,0.506593550071811,0.506593550071811,0.5001305653479566,0.49719284501893196,0.48861905383644516,0.5055272663968317,0.5061800931366148,0.5035035035035035,0.4931235583409496,0.5009139574356966,0.5001523262392827,0.5038951995473735,0.4943421682552117,0.4951037994516255,0.545039403332479,0.5855203029116073
