models,abilities,model_droped
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.4889842,kmeans_n_clusters_3
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47469795,kmeans_n_clusters_3
kmeans_n_clusters_6,0.4690792,kmeans_n_clusters_3
kmeans_n_clusters_7,0.46507034,kmeans_n_clusters_3
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.46153647,kmeans_n_clusters_3
kmeans_n_clusters_8,0.4554804,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45354488,kmeans_n_clusters_3
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45333457,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.4426981,kmeans_n_clusters_3
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4404181,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4346652,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42886156,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.42377847,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4210552,kmeans_n_clusters_3
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5474515,kmeans_n_clusters_4
kmeans_n_clusters_2,0.5466281,kmeans_n_clusters_4
kmeans_n_clusters_5,0.54183483,kmeans_n_clusters_4
kmeans_n_clusters_3,0.5415265,kmeans_n_clusters_4
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.53267795,kmeans_n_clusters_4
mean_shift_,0.5253902,kmeans_n_clusters_4
optics_,0.51766884,kmeans_n_clusters_4
kmeans_n_clusters_1,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_2_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_1_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_8_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_9_min_samples_2,0.51618665,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_7_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_3_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_6_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_5_min_samples_2,0.51618665,kmeans_n_clusters_4
dbscan_eps_np_float640_4_min_samples_2,0.51618665,kmeans_n_clusters_4
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.51618665,kmeans_n_clusters_4
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.48852313,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48596677,kmeans_n_clusters_4
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47293085,kmeans_n_clusters_4
kmeans_n_clusters_6,0.46680304,kmeans_n_clusters_4
kmeans_n_clusters_7,0.46279848,kmeans_n_clusters_4
