,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors
28,0,0,2,2,3,2,2,0,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,4,4,2,2,2,1
29,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,-1
30,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,1,3,5,6,3,1,-1
31,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
32,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
33,0,0,2,2,3,3,4,6,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,2,3,4,4,2,2,0,-1
34,0,0,2,3,0,2,3,7,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,2,1,2,0,1,5,2,1
35,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,1,3,5,6,3,1,2
36,0,1,1,3,0,4,5,3,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,1,2,0,1,5,2,1
37,0,1,1,3,4,4,5,3,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,1,1,2,0,1,5,1,1
38,0,1,2,3,0,4,5,0,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,2,0,1,5,2,1
39,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,1,3,5,6,6,1,2
40,0,0,2,2,3,2,2,0,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,4,4,2,2,2,1
41,0,0,2,2,3,3,4,4,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,4,4,2,2,2,1
42,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,-1
43,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,1,3,5,6,3,1,2
44,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,6,1,2
45,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,-1
46,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
47,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
48,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,-1
49,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
50,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
51,0,0,2,2,3,3,4,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,4,4,2,2,2,1
52,0,1,1,1,1,0,1,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,-1
53,0,0,2,2,3,2,3,6,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,3,4,4,2,2,2,1
54,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,-1
55,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,1,3,5,6,6,1,2
56,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,0
57,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
58,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
59,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
60,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,1,1,3,5,6,3,1,-1
61,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,0
62,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,0
63,0,0,2,2,3,3,4,4,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,3,4,4,2,2,2,-1
64,0,1,1,1,4,5,6,5,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,1,1,3,5,6,3,1,-1
65,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
66,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
67,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
68,0,0,2,3,0,4,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,2,0,1,5,2,1
69,0,0,2,3,0,2,3,7,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,1,2,0,1,5,2,1
70,0,0,1,3,0,4,5,3,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,1,1,2,0,1,5,2,-1
71,0,1,1,1,4,5,6,5,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,1,3,5,6,3,1,-1
72,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
73,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,1,3,5,6,6,1,2
74,0,0,0,0,2,1,0,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,-1
75,0,0,2,2,3,3,4,6,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,3,4,4,2,2,2,-1
76,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
77,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,-1
78,0,0,2,3,0,2,3,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,1,2,0,1,5,2,1
79,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
80,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
81,0,1,2,3,0,2,2,0,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,4,4,2,2,2,1
82,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
83,0,0,0,0,2,1,3,7,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,2,1,2,0,1,5,0,-1
84,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
85,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
86,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
87,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,0
88,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
89,0,1,1,3,0,4,5,3,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,1,2,0,1,5,2,1
90,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,1,3,5,6,6,1,2
91,0,0,2,3,0,4,3,7,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,2,0,1,5,2,1
92,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,6,1,2
93,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
94,0,1,1,1,1,0,1,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,-1
95,0,0,0,3,0,2,3,7,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,0,2,1,2,0,1,5,2,1
96,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
97,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,1,3,5,6,3,1,-1
98,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,1,3,5,6,3,1,2
99,0,0,0,0,2,1,0,2,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,-1
100,0,1,1,1,1,0,1,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,-1
101,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
102,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
103,0,0,0,0,2,1,0,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,-1
104,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
105,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
106,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
107,0,0,2,3,0,4,5,3,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,1,2,0,1,5,2,1
108,0,0,2,2,3,2,2,0,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,3,4,4,2,2,2,1
109,0,1,1,3,0,4,5,3,-1,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,1,1,1,2,0,1,5,1,1
110,0,0,2,2,3,2,2,0,9,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,3,4,4,2,2,2,1
111,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,-1
112,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
113,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,0
114,0,0,2,3,0,2,2,0,19,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,4,0,1,5,2,1
115,0,1,1,1,4,5,6,5,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,1,3,5,6,3,1,-1
116,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,-1
117,0,1,1,1,1,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,0,3,3,1,0,1,1,2,1,1,3,6,1,-1
118,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,6,1,2
119,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,6,1,2
120,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
121,0,0,2,2,3,3,4,4,20,9,0,0,0,0,0,0,0,0,1,2,3,2,2,1,5,0,0,2,3,4,4,2,2,2,-1
122,0,0,2,2,3,2,2,0,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,4,4,2,2,2,1
123,0,0,2,2,3,2,4,6,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,2,3,4,4,2,2,2,1
124,0,1,1,1,4,5,6,5,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,1,3,5,6,3,1,-1
125,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
126,0,0,2,3,0,2,2,0,22,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,4,4,2,2,2,1
127,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
128,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,5,4,0,0
129,0,0,2,2,3,3,2,4,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,4,4,2,2,2,-1
130,0,1,1,1,1,0,1,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,6,1,-1
131,0,0,2,3,0,2,3,7,23,1,0,0,0,0,0,0,0,0,1,1,0,3,4,4,2,0,0,2,3,2,0,1,5,2,1
132,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,4,1,0,0
133,0,1,1,1,4,5,6,5,-1,-1,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,1,3,5,6,6,1,-1
134,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
135,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
136,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
137,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
138,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,1,1,3,5,6,3,1,-1
139,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
140,0,0,2,2,3,3,4,4,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,3,4,4,2,2,2,1
141,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
142,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,1,3,5,6,3,1,2
143,0,0,2,2,3,2,4,6,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,2,3,4,4,2,2,2,1
144,0,0,2,3,0,2,3,0,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,1,2,0,1,5,2,1
145,0,0,0,3,0,4,3,7,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,2,0,1,5,2,1
146,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
147,0,1,1,1,1,0,1,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,-1
148,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,1,3,5,6,3,1,-1
149,0,0,2,2,3,3,4,4,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,3,4,4,2,2,2,-1
150,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,0,3,0,7,0,0
151,0,0,2,3,0,2,3,7,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,2,0,1,5,2,1
152,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,1,3,5,6,3,1,2
153,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
154,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
155,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,1,3,5,6,3,1,-1
156,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
157,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
158,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,-1
159,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
160,0,0,2,2,3,3,4,6,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,3,4,4,2,2,2,1
161,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,6,1,2
162,0,0,2,3,0,2,2,0,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,3,4,0,1,5,2,1
163,0,1,1,1,4,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,1,3,5,6,3,1,2
164,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,5,4,0,0
165,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,2,2,0,7,0,0
166,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,1,3,0,1,2
167,0,0,0,3,0,4,5,3,-1,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,1,2,0,1,5,2,1
